"url","host","status","title","cms","tech"
"https://themes.svn.wordpress.org","System.Management.Automation.Internal.Host.InternalHost","200","- Revision 285321: /","unknown","HTTP/3; Nginx"
"https://sandbox.onlinephpfunctions.com","System.Management.Automation.Internal.Host.InternalHost","200","PHP Sandbox - Execute PHP code online through your browser","unknown","Apache HTTP Server; Google Analytics; Google Publisher Tag; HSTS; reCAPTCHA"
"https://demo.wp-api.org","System.Management.Automation.Internal.Host.InternalHost","404","Site not found Â· GitHub Pages","unknown","Fastly; GitHub Pages; Varnish"
